"titel","registernr","volg1","rol1","scan1","volg2","rol2","scan2"
"Nr. 2, 4. bind. Fra Nordsøen 1847","259107","48353962","355","337","48354111","355","486"
"Nr. 2, 5. bind. Fra Østersøen 1847","259108","48354112","356","2","48354364","356","254"
"Nr. 2, Anhang 5. bind 1847","259109","48354365","356","255","48354382","356","272"
"Nr. 2, 6. bind. Fra Østersøen 1847","259110","48354383","356","273","48354583","356","473"
"Nr. 2, 7. bind. Fra Østersøen 1847","259111","48354584","356","474","48354763","356","653"
"Nr. 2, 8. bind. Fra Østersøen 1847","259112","48354764","357","2","48355016","357","254"
"Nr. 2, Anhang 8. bind 1847","259113","48355017","357","255","48355051","357","289"
"Nr. 2, 9. bind. Ballast 1847","259114","48355052","357","290","48355170","357","408"
"Nr. 2, 10. bind. Ballast 1847","259115","48355171","357","409","48355259","357","497"
"Nr. 2, 1. bind. Fra Nordsøen 1848","259116","48355260","357","498","48355425","357","663"
"Nr. 2, 1. bind. Fra Nordsøen 1848","259117","48355426","358","2","48355509","358","85"
"Nr. 2, 2. bind. Fra Nordsøen 1848","259118","48355510","358","86","48355668","358","244"
"Nr. 2, 3. bind. Fra Nordsøen 1848","259119","48355669","358","245","48355773","358","349"
"Nr. 2, 4. bind. Fra Nordsøen 1848","259120","48355774","358","350","48355870","358","446"
"Nr. 2, 5. bind. Fra Østersøen 1848","259121","48355871","358","447","48356027","358","603"
"Nr. 2, 6. bind. Fra Østersøen 1848","259122","48356028","359","2","48356280","359","254"
"Nr. 2, Anhang 6. bind 1848","259123","48356281","359","255","48356334","359","308"
"Nr. 2, 7. bind. Fra Østersøen 1848","259124","48356335","359","309","48356479","359","453"
"Nr. 2, 8. bind. Fra Østersøen 1848","259125","48356480","359","454","48356612","359","586"
"Nr. 2, 9. bind. Ballast 1848","259126","48356613","359","587","48356669","359","643"
"Nr. 2, 10. bind. Ballast 1848","259127","48356670","360","2","48356735","360","67"
"Nr. 2, 1. bind. Fra Nordsøen 1849","259128","48356736","360","68","48356920","360","252"
"Nr. 2, 2. bind. Fra Nordsøen 1849","259129","48356921","360","253","48357083","360","415"
