city_id,region_id,name,name_alt,name_foreign,nat,latitude,longitude,author
4002,4,Brueel,Brueel,,,53.736946,11.713056,Dr. Carl Endler
4003,4,Buetzow,Buetzow,,,53.8475,11.984445,Dr. Wolf  Struck
4004,4,Crivitz,Crivitz,,,53.577778,11.648056,Dr. Carl Endler
4005,4,Bad Doberan,Bad Doberan,,,54.106667,11.899167,Dr. Wolf  Struck
4006,4,Doemitz,Festung Doemitz,,,53.141666,11.248889,Dr. Wolf  Struck
4007,4,Feldberg,Feldberg,,,53.335556,13.439722,Dr. Carl Endler
4008,4,Friedland (Mecklenburg),Friedland,,,53.669167,13.55,Dr. Carl Endler
4009,4,Fuerstenberg/Havel,Fuerstenberg,,,53.185276,13.144722,Dr. Carl Endler
4010,4,Gadebusch,Gadebusch,,,53.701668,11.118333,Dr. Wolf  Struck
4011,4,Gnoien,Gnoien,,,53.968887,12.71,Dr. Wolf  Struck
4012,4,Goldberg (Mecklenburg),Goldberg,,,53.590832,12.088889,Dr. Carl Endler
4013,4,Grabow,Grabow,,,53.27861,11.564445,Dr. Wolf  Struck
4014,4,Grevesmuehlen,Grevesmuehlen,,,53.864445,11.184722,Dr. Wolf  Struck
4015,4,Guestrow,Guestrow,,,53.794445,12.175555,Dr. Wolf  Struck
4016,4,Hagenow,Hagenow,,,53.431667,11.191667,Dr. Wolf  Struck
4017,4,Krakow,Krakow am See,,,53.652222,12.267777,Dr. Wolf  Struck
4018,4,Kroepelin,Kroepelin,,,54.070835,11.795834,Dr. Wolf  Struck
4019,4,Laage,Laage,,,53.927223,12.346111,Dr. Wolf  Struck
4020,4,Ludwigslust,Ludwigslust,,,53.325279,11.496944,Dr. Wolf  Struck
4021,4,Luebz,Luebz,,,53.462776,12.026389,Dr. Carl Endler
4022,4,Malchin,Malchin,,,53.739166,12.761945,Dr. Wilhelm Glamann
4023,4,Malchow,Malchow,,,53.474998,12.423333,Dr. Carl Endler
4024,4,Marlow,Marlow,,,54.154167,12.571111,Dr. Wolf  Struck
4025,4,Mirow,Mirow,,,53.274445,12.815278,Dr. Carl Endler
4026,4,Neubrandenburg,Neubrandenburg,,,53.55722,13.259722,Dr. Carl Endler
4027,4,Neubukow,Neubukow,,,54.031387,11.671389,Dr. Wolf  Struck
4028,4,Neukalen,Neukalen,,,53.823055,12.790833,Dr. Wolf  Struck
4029,4,Neustadt-Gleve,Neustadt-Glewe,,,53.383057,11.585278,Dr. Carl Endler
4030,4,Neustrelitz,Neustrelitz,,,53.362221,13.063334,Dr. Carl Endler
4031,4,Parchim,Parchim,,,53.425556,11.8475,Dr. Wolf  Struck
4032,4,Penzlin,Penzlin,,,53.50528,13.088889,Dr. Carl Endler
4033,4,Plau,Plau am See,,,53.459167,12.264444,Dr. Carl Endler
4034,4,Rehna,Rehna,,,53.779724,11.049444,Dr. Wolf  Struck
4035,4,Ribnitz,Ribnitz,,,54.242779,12.431666,Dr. Wolf  Struck
4036,4,Roebel,Roebel/Mueritz,,,53.37611,12.605833,Dr. Carl Endler
4037,4,Rostock,Rostock,,,54.088333,12.135834,Dr. Paul Babendererde
4038,4,Schoenberg (Mecklenburg),Schoenberg,,,53.846943,10.934444,Dr. Carl Endler
4039,4,Schwaan,Schwaan,,,53.939445,12.1125,Dr. Wolf  Struck
4040,4,Schwerin,Schwerin,,,53.628334,11.414166,Dr. Wolf  Struck
4041,4,Stargard in Mecklenburg,Burg Stargard,,,53.495277,13.31,
4042,4,Stavenhagen,Stavenhagen,,,53.698891,12.908055,Dr. Wolf  Struck
4043,4,Sternberg,Sternberg,,,53.711113,11.828055,Dr. Carl Endler
4044,4,Strelitz,Strelitz Alt,,,53.3325,13.092778,Dr. Carl Endler
4045,4,Bad Suelze,Bad Suelze,,,54.109722,12.658889,Dr. Wolf  Struck
4046,4,Tessin,Tessin,,,54.02861,12.463056,Dr. Wolf  Struck
4047,4,Teterow,Teterow,,,53.773335,12.575833,Dr. Wolf  Struck
4048,4,Waren,Waren (Mueritz),,,53.513054,12.686111,Dr. Leopold Köhler
4049,4,Warin,Warin,,,53.800278,11.704445,Dr. Wolf  Struck
4050,4,Wesenberg,Wesenberg,,,53.281387,12.970278,Dr. Carl Endler
4051,4,Wismar,Seestadt Wismar,,,53.891388,11.465834,Dr. Hugo Lübetz
4052,4,Wittenburg,Wittenburg,,,53.511391,11.074166,Dr. Wolf  Struck
4053,4,Woldegk,Woldegk,,,53.458889,13.583055,Dr. Carl Endler
5001,5,Altona,Altona (Elbe),,,53.549999,9.9333334,Dr. Paul Hoffmann
5002,5,Barmstedt,Barmstedt,,,53.790279,9.7683334,Hans Dössel
5003,5,Bergedorf,Bergedorf (zu Hamburg),,,53.487499,10.209723,Dr. Hans Kellinghusen
5004,5,Bad Bramstedt,Bad Bramstedt,,,53.91861,9.8819447,Hans Harbeck
