cid,city,country,lat,lon,elev,transport,in_hre,in_cne,pop1100,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,inland,atlantic,baltic,northsea,medit,staple_year,fair_year
242,Bielefeld,Germany,52.02,8.52,118,land north sea,True,True,0.0,1000.0,1000.0,1000.0,2000.0,0,0,1,0,0,1,0,,1338.0
243,Biella,Italy,45.57,8.05,420,land mediterranean,False,True,2000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
244,Bielsko Biala,Poland,49.82,19.03,262,land baltic,False,True,0.0,0.0,1000.0,1000.0,1000.0,0,0,1,0,1,0,0,,
246,Billom,France,45.73,3.35,345,land north sea,False,True,2000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,,
248,Binche,Belgium,50.4,4.17,92,land north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,,
249,Bingen,Germany,49.97,7.9,89,river north sea,True,True,1000.0,2000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,,
251,Bisacquino,Italy,37.7,13.25,744,land mediterranean,False,True,1000.0,2000.0,1000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
252,Bisceglie,Italy,41.23,16.52,26,med,False,True,0.0,1000.0,1000.0,1000.0,3000.0,0,1,0,0,0,0,1,,
255,Bitonto,Italy,41.12,16.68,122,land mediterranean,False,True,3000.0,3000.0,4000.0,3000.0,6000.0,0,0,1,0,0,0,1,,
256,Bivona,Italy,37.62,13.43,503,land mediterranean,False,True,0.0,1000.0,3000.0,2000.0,3000.0,0,0,1,0,0,0,1,,
259,Blois,France,47.58,1.33,70,river north sea,False,True,3000.0,4000.0,5000.0,3000.0,4000.0,1,0,0,0,0,1,0,,
260,Bochnia,Poland,50.98,20.42,230,land baltic,False,True,0.0,1000.0,1000.0,2000.0,3000.0,0,0,1,0,1,0,0,,
261,Bochum,Germany,51.47,7.08,100,land north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,,1581.0
265,Bologna,Italy,44.5,11.33,155,land mediterranean,False,True,21000.0,35000.0,40000.0,45000.0,50000.0,0,0,1,0,0,0,1,,
267,Bolzano,Italy,46.52,11.37,262,river mediterranean,False,True,3000.0,3000.0,4000.0,3000.0,4000.0,1,0,0,0,0,0,1,,
268,Bonifacio,France,41.38,9.17,70,med,False,True,3000.0,4000.0,3000.0,7000.0,1000.0,0,1,0,0,0,0,1,,
269,Bonn,Germany,50.73,7.08,54,river north sea,True,True,3000.0,4000.0,5000.0,3000.0,3000.0,1,0,0,0,0,1,0,,
270,Bonnetable,France,48.17,0.43,77,land north sea,False,True,2000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,,
271,Bordeaux,France,44.83,-0.57,9,north sea + river,False,True,12000.0,15000.0,30000.0,30000.0,50000.0,1,1,0,0,0,1,0,,
277,Bosa,Italy,40.3,8.5,5,med + river,False,True,2000.0,2000.0,2000.0,1000.0,1000.0,1,1,0,0,0,0,1,,
280,Bottrop,Germany,51.52,6.92,55,land north sea,True,True,0.0,0.0,0.0,1000.0,1000.0,0,0,1,0,0,1,0,,1423.0
281,Boulogne,France,50.72,1.62,74,north sea,False,True,2000.0,2000.0,2000.0,1000.0,2000.0,0,1,0,0,0,1,0,,
282,Boulogne-Billancourt,France,48.83,2.23,28,river north sea,False,True,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,,
283,Bourbourg,France,50.95,2.2,1,land north sea,False,True,1000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,,
284,Bourg en Bresse,France,46.2,5.22,220,land mediterranean,False,True,1000.0,1000.0,2000.0,1000.0,5000.0,0,0,1,0,0,0,1,,
285,Bourges,France,47.08,2.4,140,river north sea,False,True,8000.0,12000.0,16000.0,18000.0,32000.0,1,0,0,0,0,1,0,,
287,Boves,Italy,44.32,7.55,542,land mediterranean,False,True,2000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
288,Bra,Italy,44.7,7.85,285,land mediterranean,False,True,0.0,0.0,1000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
293,Brandenburg,Germany,52.4,12.53,29,river north sea,True,True,2000.0,2000.0,1000.0,2000.0,5000.0,1,0,0,0,0,1,0,1455.0,1480.0
294,Braniewo,Poland,54.4,19.83,14,river baltic,False,True,0.0,0.0,1000.0,2000.0,3000.0,1,0,0,0,1,0,0,,
297,Braunschweig,Germany,52.25,10.5,71,river north sea,True,True,3000.0,11000.0,12000.0,18000.0,18000.0,1,0,0,0,0,1,0,,1385.0
298,Breda,Netherlands,51.58,4.77,3,river north sea,True,True,1000.0,1000.0,2000.0,1000.0,6000.0,1,0,0,0,0,1,0,1355.0,1313.0
299,Breisach am Rhein,Germany,48.02,7.6,225,river north sea,True,True,2000.0,2000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,,
300,Bremen,Germany,53.08,8.8,3,river north sea,True,True,6000.0,8000.0,13000.0,7000.0,18000.0,1,0,0,0,0,1,0,1360.0,965.0
301,Bremerhaven,Germany,53.55,8.58,2,north sea,True,True,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,,1318.0
302,Brescia,Italy,45.55,10.25,394,land mediterranean,False,True,13000.0,20000.0,24000.0,27000.0,49000.0,0,0,1,0,0,0,1,,
304,Brest,France,48.4,-4.48,76,north sea,False,True,1000.0,1000.0,1000.0,1000.0,1000.0,0,1,0,0,0,1,0,,
307,Brignoles,France,43.4,6.07,190,land mediterranean,False,True,2000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
308,Brindisi,Italy,40.65,17.93,15,med,False,True,2000.0,3000.0,3000.0,2000.0,4000.0,0,1,0,0,0,0,1,,
309,Brioude,France,45.3,3.38,414,land north sea,False,True,2000.0,2000.0,3000.0,2000.0,2000.0,0,0,1,0,0,1,0,,
