cid,city,country,lat,lon,elev,transport,in_hre,in_cne,pop1200,pop1300,pop1400,pop1500,pop1600,on_river,on_coast,inland,atlantic,baltic,northsea,medit,l1200,l1300,l1400,l1500,l1600,g_crash,g_recov
131,Ath,Belgium,50.63,3.78,32,river north sea,True,True,2000.0,4000.0,3000.0,5000.0,4000.0,1,0,0,0,0,1,0,7.600902459542082,8.294049640102028,8.006367567650246,8.517193191416238,8.294049640102028,-0.2876820724517817,0.5108256237659923
137,Augsburg,Germany,48.35,10.88,474,river black sea,True,True,13000.0,19000.0,12000.0,30000.0,40000.0,1,0,0,0,0,0,0,9.472704636443673,9.852194258148577,9.392661928770137,10.308952660644293,10.596634733096073,-0.45953232937844035,0.916290731874156
154,Bad Hersfeld,Germany,50.87,9.7,212,river north sea,True,True,1000.0,2000.0,1000.0,2000.0,6000.0,1,0,0,0,0,1,0,6.907755278982137,7.600902459542082,6.907755278982137,7.600902459542082,8.699514748210191,-0.6931471805599454,0.6931471805599454
156,Bad Kreuznach,Germany,49.87,7.85,104,river north sea,True,True,2000.0,3000.0,2000.0,3000.0,4000.0,1,0,0,0,0,1,0,7.600902459542082,8.006367567650246,7.600902459542082,8.006367567650246,8.294049640102028,-0.4054651081081637,0.4054651081081637
159,Baden-Baden,Germany,48.77,8.23,161,river north sea,True,True,1000.0,2000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,6.907755278982137,7.600902459542082,6.907755278982137,6.907755278982137,7.600902459542082,-0.6931471805599454,0.0
173,Bamberg,Germany,49.88,10.88,293,river north sea,True,True,8000.0,8000.0,5000.0,7000.0,12000.0,1,0,0,0,0,1,0,8.987196820661973,8.987196820661973,8.517193191416238,8.85366542803745,9.392661928770137,-0.4700036292457348,0.33647223662121206
183,Barmen,Germany,51.28,7.22,191,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,0.0,0.0
186,Basel,Switzerland,47.55,7.58,250,river north sea,True,True,5000.0,7000.0,10000.0,10000.0,11000.0,1,0,0,0,0,1,0,8.517193191416238,8.85366542803745,9.210340371976184,9.210340371976184,9.305650551780507,0.35667494393873334,0.0
191,Bautzen,Germany,51.18,14.48,205,river north sea,True,True,7000.0,3000.0,5000.0,5000.0,5000.0,1,0,0,0,0,1,0,8.85366542803745,8.006367567650246,8.517193191416238,8.517193191416238,8.517193191416238,0.5108256237659923,0.0
194,Bayreuth,Germany,49.95,11.58,343,river north sea,True,True,1000.0,1000.0,1000.0,2000.0,2000.0,1,0,0,0,0,1,0,6.907755278982137,6.907755278982137,6.907755278982137,7.600902459542082,7.600902459542082,0.0,0.6931471805599454
