city_id,year,old_terr,new_terr,old_type,new_type,type_change,foreign_rule
7055,1474,L102,A1620,noble,unknown,0,
7055,1486,A1620,B3742,unknown,noble,0,
7056,1304,W2890,B374,unknown,noble,0,
7056,1320,B374,W400,noble,noble,0,
7056,1348,W400,1F0001,noble,noble,3,
7056,1350,1F0001,W400,noble,noble,3,
7056,1351,W400,0B0082,noble,noble,3,
7056,1370,0B0082,L339,noble,noble,9,B316
7056,1401,L339,W2890,noble,unknown,0,
7056,1418,W2890,L339,unknown,noble,0,B316
7056,1437,L339,H010,noble,noble,0,B316
7056,1457,H010,0P0046,noble,noble,3,B316
7056,1471,0P0046,0J0012,noble,noble,3,U034
7056,1479,0J0012,0H0071,noble,noble,3,B316
7056,1490,0H0071,0J0012,noble,noble,3,B316
7056,1525,0J0012,H0101,noble,noble,3,B316
7056,1619,H0101,H0103,noble,noble,3,B316
7056,1635,H0103,A060,noble,noble,3,
7056,1657,A060,S039,noble,noble,3,
7056,1738,S039,A060,noble,noble,3,
7057,1320,B374,W400,noble,noble,3,
7057,1348,W400,1F0001,noble,noble,0,
7057,1350,1F0001,W400,noble,noble,0,
7057,1351,W400,0B0082,noble,noble,0,
7057,1373,0B0082,L339,noble,noble,0,
7057,1417,L339,A1620,noble,unknown,0,
7057,1440,A1620,B3741,unknown,noble,0,
7057,1471,B3741,A1620,noble,unknown,0,
7057,1486,A1620,B3742,unknown,noble,0,
7058,1320,B374,W400,noble,noble,0,
7058,1348,W400,P131,noble,noble,0,
7058,1420,P131,A1620,noble,unknown,0,
7058,1427,A1620,P131,unknown,noble,0,
7058,1446,P131,B3741,noble,noble,0,
7058,1471,B3741,A1620,noble,unknown,0,
7058,1486,A1620,B3742,unknown,noble,0,
7059,1304,W2890,B374,unknown,noble,5,
7059,1320,B374,W400,noble,noble,3,
7059,1348,W400,1F0001,noble,noble,0,
7059,1350,1F0001,W400,noble,noble,0,
7059,1351,W400,0B0082,noble,noble,0,
7059,1370,0B0082,L339,noble,noble,9,B316
7059,1378,L339,G170,noble,noble,11,
7059,1396,G170,L339,noble,noble,0,B316
7059,1437,L339,H010,noble,noble,3,B316
7059,1457,H010,0P0046,noble,noble,3,B316
7059,1471,0P0046,0J0012,noble,noble,3,U034
7059,1479,0J0012,0H0071,noble,noble,3,B316
7059,1490,0H0071,0J0012,noble,noble,3,B316
7059,1525,0J0012,H0101,noble,noble,0,B316
7059,1619,H0101,H0103,noble,noble,3,B316
7059,1635,H0103,A060,noble,noble,3,
7059,1657,A060,S039,noble,noble,11,
7059,1738,S039,A060,noble,noble,3,
7060,1320,B374,W400,noble,noble,0,
7060,1348,W400,1F0001,noble,noble,0,
7060,1350,1F0001,W400,noble,noble,0,
7060,1351,W400,0B0082,noble,noble,0,
7060,1373,0B0082,L339,noble,noble,5,
7060,1417,L339,A1620,noble,unknown,0,
7060,1440,A1620,B3741,unknown,noble,11,
7060,1471,B3741,A1620,noble,unknown,3,
7060,1486,A1620,B3742,unknown,noble,11,
7061,1320,B374,W400,noble,noble,3,
7061,1348,W400,1F0001,noble,noble,0,
7061,1350,1F0001,W400,noble,noble,0,
7061,1351,W400,0B0082,noble,noble,0,
7061,1373,0B0082,L339,noble,noble,5,
7061,1417,L339,A1620,noble,unknown,0,
7061,1440,A1620,B3741,unknown,noble,11,
7061,1471,B3741,A1620,noble,unknown,3,
7061,1486,A1620,B3742,unknown,noble,11,
7062,1635,M010,A060,church,noble,7,
7062,1657,A060,S047,noble,noble,11,
7062,1746,S047,A060,noble,noble,3,
7063,1571,B373,B3742,church,noble,8,
7064,1320,B374,W400,noble,noble,3,
7064,1348,W400,1F0001,noble,noble,0,
7064,1350,1F0001,W400,noble,noble,0,
7064,1351,W400,0B0082,noble,noble,0,
7064,1373,0B0082,L339,noble,noble,5,
7064,1378,L339,G170,noble,noble,11,
7064,1386,G170,L339,noble,noble,0,
7064,1429,L339,D063,noble,church,0,
7064,1463,D063,B3741,church,noble,5,
7064,1471,B3741,A1620,noble,unknown,3,
7064,1486,A1620,B3742,unknown,noble,11,
7064,1535,B3742,0K0033,noble,noble,11,
7064,1571,0K0033,B3742,noble,noble,3,
7065,1327,0U0001,L339,unknown,noble,0,B316
7065,1350,L339,W400,noble,noble,0,
7065,1351,W400,0B0082,noble,noble,0,
7065,1373,0B0082,L339,noble,noble,0,
7065,1378,L339,G170,noble,noble,0,
7065,1386,G170,L339,noble,noble,0,
7065,1429,L339,D063,noble,church,0,
7065,1463,D063,B3741,church,noble,5,
7065,1471,B3741,A1620,noble,unknown,5,
7065,1486,A1620,B3742,unknown,noble,5,
7065,1535,B3742,0K0033,noble,noble,5,
7065,1571,0K0033,B3742,noble,noble,5,
7066,1375,W2890,L339,unknown,noble,0,
7066,1400,L339,0S0036,noble,noble,0,
7066,1500,0S0036,0L0045,noble,noble,0,
7066,1669,0L0045,0J0009,noble,noble,0,
7066,1683,0J0009,B3742,noble,noble,5,
7067,1320,B374,W400,noble,noble,3,
7067,1348,W400,1F0001,noble,noble,0,
7067,1350,1F0001,0L0034,noble,noble,0,
7067,1355,0L0034,0B0041,noble,noble,0,
7067,1634,0B0041,B3742,noble,noble,0,
7068,1320,B374,W400,noble,noble,3,
7068,1348,W400,1F0001,noble,noble,0,
7068,1350,1F0001,W400,noble,noble,0,
7068,1351,W400,0B0082,noble,noble,0,
7068,1373,0B0082,L339,noble,noble,5,
7068,1378,L339,G170,noble,noble,11,
7068,1386,G170,L339,noble,noble,0,
7068,1429,L339,D063,noble,church,0,
7068,1463,D063,B3741,church,noble,5,
7068,1471,B3741,A1620,noble,unknown,3,
7068,1486,A1620,B3742,unknown,noble,11,
7068,1535,B3742,0K0033,noble,noble,11,
7068,1571,0K0033,B3742,noble,noble,3,
7069,1319,B374,M114,noble,noble,0,
7069,1325,M114,0U0001,noble,unknown,0,
7069,1332,0U0001,W234,unknown,noble,0,
7069,1351,W234,0B0082,noble,noble,0,
7069,1373,0B0082,W234,noble,noble,5,
7069,1375,W234,M114,noble,noble,0,
7069,1400,M114,L339,noble,noble,0,
7069,1417,L339,A1620,noble,unknown,0,
7069,1440,A1620,B3741,unknown,noble,11,
7069,1471,B3741,A1620,noble,unknown,3,
7069,1486,A1620,B3742,unknown,noble,11,
7070,1320,B374,W400,noble,noble,0,
7070,1348,W400,1F0001,noble,noble,0,
7070,1350,1F0001,W400,noble,noble,0,
7070,1351,W400,0B0082,noble,noble,0,
7070,1373,0B0082,L339,noble,noble,0,
7070,1378,L339,G170,noble,noble,0,
7070,1386,G170,L339,noble,noble,0,
7070,1429,L339,D063,noble,church,0,
7070,1463,D063,B3741,church,noble,0,
