terr_id,terr_name,ruler_type,subtype
M246,Montfort-Bregenz,noble,family_line
M247,Montfort-Feldkirch,noble,family_line
M248,Montfort-Tettnang,noble,family_line
M249,Montmartin,noble,family_line
M250,Moosbeuren,noble,family_line
M251,Moranga,noble,family_line
M252,Morazani; Murizzi; Marscinerland,noble,family_line
M253,Mörchingen,noble,family_line
M254,Moresceni  (Moroszanorum pagus; Mrocini; Moriziani. Morazena; Morazani; Morozini;Mrozani; ,noble,family_line
M255,Moresmarcha (marca Aquilejensis),noble,family_line
M256,Moresnet,noble,family_line
M257,Morgen,noble,family_line
M258,Moringergau,noble,family_line
M259,Mörlau,noble,family_line
M260,Mörlau zu Münkheim,noble,family_line
M261,Mörlbach,noble,family_line
M262,Mormonnaland,noble,family_line
M263,Mörs,noble,family_line
M264,Mörsberg-Belfort,noble,family_line
M265,Morseton,noble,family_line
M266,Morsheim; Mosheim; Mornsheim; Mortlßheim,noble,family_line
M267,Morstein,noble,family_line
M268,Mortenau,noble,family_line
M269,Mosau; Moßau,noble,family_line
M270,Mosau; Mossaw,noble,family_line
M271,Mosbach,noble,family_line
M272,Mosbach von Lindenfels,noble,family_line
M273,Mosbach; Mospach; Moßbach; Mussbach,noble,family_line
M274,Moselgau  (Moslicinse; Musalgovve; Muselguuae; Muselgowe; Muselgowi; Musolensi;Gau um die Mosel),noble,family_line
M275,Moser von Filseck,noble,family_line
M276,Moside,noble,family_line
M277,Moßau,noble,family_line
M278,Mossaw,noble,family_line
M279,Mößkirch,noble,family_line
M280,Moswidi,noble,family_line
M281,Motschider; Motschider von Gerau,noble,family_line
M282,Motten,noble,family_line
M283,Möttling,noble,family_line
M284,Moutier,noble,family_line
M285,Mückenhausen; Mückhausen,noble,family_line
M286,Müdengau; Muthiwidde,noble,family_line
M287,Mudersbach,noble,family_line
M288,Müdesheim,noble,family_line
M289,Mudschidler,noble,family_line
M290,Mueg von Boofzheim,noble,family_line
M291,Muffel,noble,family_line
M292,Muffelger; Muffelgern,noble,family_line
M293,Müffling genannt Weiß,noble,family_line
