cid,city,country,lat,lon,in_hre,in_cne,city_id,name_loc
1744,Schweinfurt,Germany,50.05,10.27,True,True,22121,Schweinfurt
1745,Schwerin,Germany,53.63,11.42,True,True,4040,Schwerin
1788,Siegen,Germany,50.87,8.03,True,True,13137,Siegen
1806,Slupsk,Poland,54.47,17.02,False,True,3068,Stolp
1811,Soest,Germany,51.57,8.12,True,True,13138,Soest
1817,Solingen,Germany,51.17,7.08,True,True,14100,Solingen
1833,Sovetsk,Russia,55.08,21.88,False,False,1074,Tilsit
1834,Spandau,Germany,52.53,13.2,True,True,7016,Berlin-Spandau
1836,Speyer,Germany,49.32,8.43,True,True,18087,Speyer
1868,Stade,Germany,53.6,9.47,True,True,12118,Stade
1872,Stargard Szczecinski,Poland,53.33,15.03,False,True,3062,Stargard in Pommern
