city_id,name,lat,lon,charter_year,market_year,match_km,pop1100,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,cid
8013,Bunzlau,51.266666,15.566667,1242.0,1840.0,24.003745219841772,,,,,,0,0,1096
8014,Carlsruhe O.S.,50.900002,17.833334,,1817.0,25.210279810796212,,,,,,1,0,1409
8015,Cosel,50.333611,18.145834,1281.0,1595.0,37.69927101583759,,,,,,1,0,730
8017,Deutsch Wartenberg,51.849998,15.716666,,1539.0,19.7716168041853,,,,,,0,0,2232
8021,Frankenberg (Schlesien),50.516666,16.783333,,,11.997840379601227,,,,,,1,0,943
8023,Fraustadt,51.799999,16.299999,1272.0,1404.0,1.375348202182939,0.0,0.0,1000.0,1000.0,1000.0,0,0,2202
8026,Freyhan,51.633335,17.35,1400.0,,33.16654726002051,,,,,,0,0,1599
8029,Friedland (O.S.),50.5,17.6,,1840.0,19.229827863463896,,,,,,1,0,1384
8034,Goerlitz,51.155277,14.987778,1215.0,1840.0,0.6068975435438154,1000.0,2000.0,5000.0,8000.0,8000.0,1,0,738
8035,Goldberg in Niederschlesien,51.133335,15.916667,1211.0,1765.0,0.4377313657069053,0.0,1000.0,2000.0,1000.0,1000.0,0,0,2238
8044,Guhrau,51.666668,16.549999,,1315.0,20.489927358108577,,,,,,0,0,1045
8051,Hirschberg im Riesengebirge,50.900002,15.733334,1250.0,1519.0,2.512000873688372,1000.0,1000.0,2000.0,1000.0,2000.0,1,0,884
8054,Jauer,51.053055,16.193611,,1329.0,18.811185401332892,,,,,,0,0,1033
8064,Kostenblut,51.045555,16.611389,1250.0,1254.0,23.612675366036875,,,,,,0,0,1906
8073,Landsberg O.S.,51.033333,18.433332,,1830.0,52.40174020485016,,,,,,1,0,530
8098,Neumittelwalde,51.399166,17.665556,1637.0,1637.0,51.00288908296744,,,,,,1,0,896
8121,Ratibor,50.092224,18.219723,1211.0,1275.0,23.57510567061261,,,,,,0,0,1670
8168,Wittichenau,51.385277,14.243333,1303.0,1348.0,28.141683177085543,,,,,,1,0,191
9001,Adorf,50.320557,12.254444,1358.0,,21.815008053773134,,,,,,1,0,1521
9002,Altenberg,50.766388,13.757222,1451.0,1555.0,23.159372655285193,,,,,,1,0,2036
9003,Annaberg,50.580555,13.003056,1497.0,,14.084414623675077,,,,,,0,0,1152
9004,Aue,50.585278,12.700833,,1632.0,5.2612537007031825,0.0,0.0,0.0,1000.0,2000.0,0,0,1738
9005,Auerbach,50.50528,12.402778,,,14.677416427980235,,,,,,0,0,1607
9006,Augustusburg,50.810555,13.101666,,1615.0,11.47964284056614,,,,,,1,0,678
9009,Berggiesshuebel,50.874443,13.948334,,1668.0,10.73344906781943,,,,,,1,0,1513
9010,Bernstadt auf dem Eigen,51.046665,14.823611,,1403.0,16.3145605937335,,,,,,1,0,2235
9012,Borna,51.123055,12.497222,,,16.586488479543867,,,,,,1,0,61
9013,Brand-Erbisdorf,50.869167,13.321944,1834.0,,3.474743492386861,0.0,1000.0,6000.0,4000.0,8000.0,0,0,682
9014,Brandis,51.333889,12.609445,,,12.931726038723253,,,,,,1,0,602
9016,Burgstaedt,50.918056,12.806666,1270.0,1586.0,12.61391212377732,,,,,,1,0,447
9018,Colditz,51.125557,12.806666,,1788.0,13.090943656815892,,,,,,1,0,764
9019,Coswig,51.126667,13.580277,1939.0,,9.076725485705829,,,,,,1,0,1182
9020,Crimmitschau,50.812222,12.386666,1414.0,,10.106903388527265,,,,,,0,0,729
9022,Dippoldiswalde,50.896389,13.666667,,1500.0,17.64702358706263,,,,,,1,0,575
9023,Doebeln,51.119999,13.114722,,1400.0,0.3683843182688422,1000.0,1000.0,1000.0,1000.0,2000.0,1,0,560
9026,Ebersbach,51.007221,14.581388,1925.0,,0.8087920652864201,0.0,0.0,0.0,0.0,0.0,1,0,592
9029,Bad Elster,50.282501,12.238055,1935.0,1885.0,22.67852511799694,,,,,,1,0,828
9042,Geringswalde,51.076946,12.903334,,1564.0,12.039652582932339,,,,,,1,0,1221
9048,Groitzsch,51.154167,12.280833,,1210.0,15.654969275649888,,,,,,1,0,2225
