city_id,comment,time_point,type_conflict,type_detail,warlabel,overreported,uncertainty,range,ThirtyYW_leader,ThirtyYW_conflict_party,ThirtyYW_territory,ThirtyYW_country,source
2001,Im 7.jK (1754-61) wiederholte Besetzungen und Brandschatzungen durch schwed. Und preusz Truppen,1756,3,b4,3,0,0,2,,,,,"10, 11"
2001,Im 7.jK (1754-61) wiederholte Besetzungen und Brandschatzungen durch schwed. Und preusz Truppen,1756,3,cd1,3,0,0,2,,,,,"10, 11"
2001,Im 7.jK (1754-61) wiederholte Besetzungen und Brandschatzungen durch schwed. Und preusz Truppen,1756,3,cd1,3,0,0,2,,,,,"10, 11"
2002,1630 weilte auch Gustav Adolf von Schweden in B. ,1630,3,c2,2,0,0,0,30,2,21,7,"10, 11"
2002,Die Jahre 1637-38 waren wieder fuer die Stadt sehr schwer,1637,1,f1,2,0,0,0,0,0,0,0,"10, 11"
2002,Von 1716-21 war das Land in der Hand des Kg.Friedrich IV. Von Daenemark,1716,1,e7,0,0,0,2,,,,,"10, 11"
2002,"der 30jK zog die Stadt in Mitleidenschaft, namentl. Seit 1627 zur Zeit der Belagerung Stralsunds durch Wallenstein",1627,3,d2,2,0,0,0,15,1,29,3,"10, 11"
2004,Am 26.09.1630 Sieg Gustav Adolfs ueber die Kaiserl. Am Pass bei D.,1630,1,e5,2,0,0,0,30,2,21,7,"10, 11"
2004,Am 3.11.1712 Schweden gegen Polen am Pass bei D.,1712,1,e5,0,0,0,0,,,,,"10, 11"
2004,Schweden gegen Kaiserl 1637 und 1638 am Pass bei D.,1637,1,e5,2,0,0,0,28,2,21,7,"10, 11"
2004,Schweden gegen Kaiserl 1637 und 1638 am Pass bei D.,1638,1,e5,2,0,0,0,28,2,21,7,"10, 11"
2005,1759 durch die Preuszen erobert,1759,1,e2,0,0,0,0,,,,,"10, 11"
2005,Der Gr. Kurfuerst eroberte 1675 die Stadt und hielt sie besetzt,1675,1,e2,0,0,0,0,,,,,"10, 11"
2005,Der Gr. Kurfuerst eroberte 1675 die Stadt und hielt sie besetzt,1675,3,cd1,0,0,0,0,,,,,"10, 11"
2005,Hoflager Peters d. Gr. 1712-13,1712,3,c8,0,0,0,0,,,,,"10, 11"
2005,"Nach Kapitulation von Franzburg bei D. 1627 wurde D. Von Kaiserl. Mehrfach besetzt,belagert und von Schweden eingenommen",1627,3,cd1,0,0,1,2,,,,,"10, 11"
